Feature,Score
dep_hour,0.4868531065743082
carrier_avg_delay,0.34109598598452806
month,0.0709155112741334
carrier_index,0.05311775146432188
day_of_week,0.02513971348227892
airport_congestion,0.011326511558984821
distance,0.010115014223282539
Temperature,0.0005620886986170282
Wind Speed,0.0005418603560412714
Precipitation,0.00033245638350394525
